timestamp,city,temperature,description
2026-04-08T13:10:10.957Z,Edinburgh,15.84,broken clouds
2026-04-08T15:05:08.314Z,Edinburgh,15.93,scattered clouds
2026-04-08T16:56:12.817Z,Edinburgh,15.34,scattered clouds
2026-04-08T19:09:20.177Z,Edinburgh,12.39,overcast clouds
2026-04-08T20:37:42.276Z,Edinburgh,11.22,overcast clouds
2026-04-08T22:34:21.909Z,Edinburgh,10.66,clear sky
2026-04-09T01:49:45.030Z,Edinburgh,10.27,broken clouds
2026-04-09T04:30:19.892Z,Edinburgh,9.28,overcast clouds
2026-04-09T07:15:20.740Z,Edinburgh,9.65,light rain
2026-04-09T09:01:45.685Z,Edinburgh,9.86,overcast clouds
2026-04-09T10:54:46.351Z,Edinburgh,8.89,light rain
2026-04-09T13:14:33.388Z,Edinburgh,8.32,overcast clouds
2026-04-09T15:17:58.888Z,Edinburgh,9.03,scattered clouds
2026-04-09T17:01:40.056Z,Edinburgh,8.41,overcast clouds
2026-04-09T18:57:10.773Z,Edinburgh,6.68,light rain
2026-04-09T20:43:09.222Z,Edinburgh,4.84,broken clouds
2026-04-09T22:36:04.587Z,Edinburgh,4.61,broken clouds
2026-04-10T02:02:23.241Z,Edinburgh,4.22,clear sky
2026-04-10T05:55:01.583Z,Edinburgh,2.53,few clouds
2026-04-10T07:20:06.455Z,Edinburgh,3.21,clear sky
2026-04-10T09:02:46.303Z,Edinburgh,6.66,clear sky
2026-04-10T10:48:50.918Z,Edinburgh,9.09,scattered clouds
2026-04-10T12:58:55.502Z,Edinburgh,10.63,overcast clouds
2026-04-10T14:43:15.248Z,Edinburgh,10.53,overcast clouds
2026-04-10T16:44:04.508Z,Edinburgh,9.07,overcast clouds
2026-04-10T18:43:33.463Z,Edinburgh,7.48,scattered clouds
2026-04-10T20:30:22.252Z,Edinburgh,7.51,broken clouds
2026-04-10T22:31:47.634Z,Edinburgh,6.18,broken clouds
2026-04-11T01:51:20.348Z,Edinburgh,5.77,overcast clouds
2026-04-11T04:17:09.162Z,Edinburgh,5.49,moderate rain
2026-04-11T06:55:11.682Z,Edinburgh,3.81,light rain
2026-04-11T08:36:24.604Z,Edinburgh,4.04,few clouds
2026-04-11T10:29:09.965Z,Edinburgh,7.99,few clouds
2026-04-11T12:44:41.705Z,Edinburgh,9.95,overcast clouds
2026-04-11T14:32:21.363Z,Edinburgh,9.52,overcast clouds
2026-04-11T16:30:28.052Z,Edinburgh,9.37,scattered clouds
2026-04-11T18:36:31.262Z,Edinburgh,8.02,scattered clouds
2026-04-11T20:26:58.987Z,Edinburgh,5.7,scattered clouds
2026-04-11T22:26:37.395Z,Edinburgh,6.76,overcast clouds
2026-04-12T02:04:01.083Z,Edinburgh,5.74,few clouds
2026-04-12T05:51:29.626Z,Edinburgh,6.38,broken clouds
2026-04-12T07:07:36.804Z,Edinburgh,7.4,light rain
2026-04-12T08:40:59.279Z,Edinburgh,7.86,scattered clouds
2026-04-12T10:34:16.238Z,Edinburgh,10.98,scattered clouds
2026-04-12T12:51:33.434Z,Edinburgh,10.46,clear sky
2026-04-12T14:36:52.704Z,Edinburgh,10.85,scattered clouds
2026-04-12T16:31:58.379Z,Edinburgh,10.1,broken clouds
2026-04-12T18:39:40.677Z,Edinburgh,7.53,few clouds
2026-04-12T20:29:41.344Z,Edinburgh,6.29,clear sky
2026-04-12T22:28:18.239Z,Edinburgh,5.25,few clouds
2026-04-13T02:08:41.681Z,Edinburgh,4.11,clear sky
2026-04-13T06:11:16.783Z,Edinburgh,3.22,clear sky
2026-04-13T09:50:39.134Z,Edinburgh,10.61,few clouds
2026-04-13T11:13:37.185Z,Edinburgh,11.32,clear sky
2026-04-13T13:14:51.978Z,Edinburgh,11.62,broken clouds
2026-04-13T15:12:10.632Z,Edinburgh,10.34,overcast clouds
2026-04-13T17:02:00.724Z,Edinburgh,10.08,light rain
2026-04-13T19:07:34.024Z,Edinburgh,7.82,scattered clouds
2026-04-13T20:48:31.663Z,Edinburgh,5.9,scattered clouds
2026-04-13T22:38:30.171Z,Edinburgh,5.28,clear sky
2026-04-14T02:03:18.365Z,Edinburgh,3.64,clear sky
2026-04-14T05:57:26.518Z,Edinburgh,2.42,clear sky
2026-04-14T07:48:01.927Z,Edinburgh,6.28,clear sky
2026-04-14T09:12:21.360Z,Edinburgh,9.84,clear sky
2026-04-14T10:58:22.605Z,Edinburgh,12.37,clear sky
2026-04-14T13:15:33.490Z,Edinburgh,13.76,overcast clouds
2026-04-14T15:09:55.368Z,Edinburgh,11.04,light rain
2026-04-14T17:00:32.928Z,Edinburgh,9.73,overcast clouds
2026-04-14T19:05:35.622Z,Edinburgh,9.22,overcast clouds
2026-04-14T20:46:52.939Z,Edinburgh,10.42,overcast clouds
2026-04-14T22:40:15.454Z,Edinburgh,9.49,overcast clouds
2026-04-15T02:00:16.668Z,Edinburgh,8.79,light rain
2026-04-15T05:57:24.199Z,Edinburgh,8.94,overcast clouds
2026-04-15T07:47:48.862Z,Edinburgh,12.37,overcast clouds
2026-04-15T09:13:09.248Z,Edinburgh,13.28,broken clouds
2026-04-15T10:54:28.202Z,Edinburgh,14.38,few clouds
2026-04-15T13:14:07.532Z,Edinburgh,14.05,moderate rain
2026-04-15T15:02:25.266Z,Edinburgh,14.13,scattered clouds
2026-04-15T16:57:32.810Z,Edinburgh,13.15,broken clouds
2026-04-15T19:08:20.902Z,Edinburgh,11.78,overcast clouds
2026-04-15T20:41:54.757Z,Edinburgh,10.67,overcast clouds
2026-04-15T22:37:04.989Z,Edinburgh,10.11,overcast clouds
2026-04-16T02:08:09.502Z,Edinburgh,8.75,overcast clouds
2026-04-16T05:58:28.101Z,Edinburgh,7.77,scattered clouds
2026-04-16T07:53:51.586Z,Edinburgh,9.8,scattered clouds
2026-04-16T09:14:00.992Z,Edinburgh,10.86,broken clouds
2026-04-16T10:58:00.579Z,Edinburgh,12.37,broken clouds
2026-04-16T13:20:09.470Z,Edinburgh,13.82,few clouds
2026-04-16T15:22:57.229Z,Edinburgh,12.88,light rain
2026-04-16T17:08:32.508Z,Edinburgh,12.34,overcast clouds
2026-04-16T19:05:22.438Z,Edinburgh,10.77,overcast clouds
2026-04-16T20:42:38.424Z,Edinburgh,11.07,overcast clouds
2026-04-16T22:34:45.388Z,Edinburgh,9.94,overcast clouds
2026-04-17T02:04:20.740Z,Edinburgh,9.22,overcast clouds
2026-04-17T06:00:26.282Z,Edinburgh,10.15,scattered clouds
2026-04-17T09:11:51.113Z,Edinburgh,11.72,overcast clouds
2026-04-17T10:50:18.256Z,Edinburgh,12.79,light rain
2026-04-17T13:07:08.745Z,Edinburgh,13.59,scattered clouds
2026-04-17T14:54:24.741Z,Edinburgh,14.03,few clouds
2026-04-17T16:50:45.723Z,Edinburgh,13.12,broken clouds
2026-04-17T18:53:22.634Z,Edinburgh,11.05,few clouds
2026-04-17T20:39:27.856Z,Edinburgh,10.17,clear sky
2026-04-17T22:33:16.187Z,Edinburgh,9.31,few clouds
2026-04-18T01:55:14.603Z,Edinburgh,8.43,broken clouds
